Text (Top 100),Error Type,Error Count,URLs Affected,Coverage,Error Detail,Language,Sample URL
Labor,Spelling,4,3,2,Possible spelling mistake. 'Labor' is American English.,en-GB,https://sydneychiropractorcbd.com.au/learn-about-posture-and-pregnancy-in-sydney-cbd/
headachesThe,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/different-types-of-headaches-2/
dura,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/tethered-cord-syndrome/
headachesA,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/different-types-of-headaches-2/
Aline,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/how-does-posture-affect-my-health/
condi,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
headachesThese,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/different-types-of-headaches-2/
headachesPeople,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/different-types-of-headaches-2/
tumors,Spelling,2,2,1,Possible spelling mistake. 'tumors' is American English.,en-GB,https://sydneychiropractorcbd.com.au/disc-pain/
discoloration,Spelling,2,2,1,Possible spelling mistake. 'discoloration' is American English.,en-GB,https://sydneychiropractorcbd.com.au/symptoms-of-sprained-ankles-and-foot-injury/
Dahdah,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/how-does-posture-affect-my-health/
chiros,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/auto-accident-injury-chriropractic-care/
Hooman,Spelling,12,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/book/
orthopedic,Spelling,2,2,1,Possible spelling mistake. 'orthopedic' is American English.,en-GB,https://sydneychiropractorcbd.com.au/understanding-thoracic-outlet-syndrome/
equina,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/how-to-tell-if-back-pain-is-serious/
Cuddy,Spelling,3,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/can-my-posture-affect-my-hormones/
stoplight,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/chiropratic-help-for-whiplash/
pilates,Spelling,3,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/stress-management-back-pain/
Xrays,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/pinched-nerve-treatment/
molding,Spelling,2,2,1,Possible spelling mistake. 'molding' is American English.,en-GB,https://sydneychiropractorcbd.com.au/chiropratic-care-for-head-asymmetry/
headacheCluster,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/different-types-of-headaches-2/
MigrainesMigraines,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/different-types-of-headaches-2/
musc,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
counseling,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/chiropractic-adjustment-treatments-beyond-back-pain/
skillfully,Spelling,2,2,1,Possible spelling mistake. 'skillfully' is American English.,en-GB,https://sydneychiropractorcbd.com.au/pinched-nerve-treatment/
manageme,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
Meniere,Spelling,2,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/abc-advanced-bio-structural-correction/
Adjustements,Spelling,4,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/chiropratic-care-adjustments/
Rin,Spelling,4,2,1,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/tmj-treatment/
DeliveryProper,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/learn-about-posture-and-pregnancy-in-sydney-cbd/
Psychoneuroimmunology,Spelling,2,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/your-brain-and-immune-function/
Hazardss,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/spine-pain/
plasty,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/chiropractic-adjustment-treatments-beyond-back-pain/
XRAY,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/personal-plan/
regis,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
causesPsychological,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/main-reasons-for-lower-back-pain/
Endonasal,Spelling,6,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/endonasal-cranial-correction-treatment-sydney-cbd/
kiev,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/massage-sydney-cbd-best-massage-sydney/
signaling,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/spine-pain/
traveling,Spelling,1,1,0,Possible spelling mistake. 'traveling' is American English.,en-GB,https://sydneychiropractorcbd.com.au/professional-treatment-for-shoulder-injury/
goloskarpat,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/
Pregnanc,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/pregnancy-back-pain-help/
jou,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
ifk,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/carpal-tunnel-syndrome-treatment-sydney-cbd/
Travell,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/massage-sydney-cbd-best-massage-sydney/
xray,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/personal-plan/
trea,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
wor,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
Teres,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/rotator-cuff-syndrome-advice-from-sydney-cbd-chiropractor/
nidra,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/5-tips-to-get-better-sleep/
Counseling,Spelling,2,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/spine-pain/
choki,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
behi,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
speaki,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
usuall,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
Onl,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
eg,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/personal-plan/
effleurage,Spelling,2,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/massage-sydney-cbd-best-massage-sydney/
tapotement,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/massage-sydney-cbd-best-massage-sydney/
airplane,Spelling,1,1,0,Possible spelling mistake. 'airplane' is American English.,en-GB,https://sydneychiropractorcbd.com.au/neck-pain-treatment-sydney-cbd/
bathtime,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/back-pain-treatment-sydney-cbd/
abdo,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
Indriksone,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/book/
sydneychiroprac,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
Neck-Scapulo-Thoracic-Shoulder,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/rotator-cuff-syndrome-advice-from-sydney-cbd-chiropractor/
BPPV,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/abc-advanced-bio-structural-correction/
chiroprac,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
primaril,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
techn,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
Calcifediol,Spelling,3,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/vitamin-d-super-vitamin-vital-to-health/
endonasal,Spelling,6,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/endonasal-cranial-correction-treatment-sydney-cbd/
separat,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/blog-overview/
Cbd,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/massage-sydney-cbd-best-massage-sydney/
manchester,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/massage-sydney-cbd-best-massage-sydney/
petrissage,Spelling,2,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/massage-sydney-cbd-best-massage-sydney/
ischemia,Spelling,2,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/chiropractic-care-for-fibromyalgia-and-improved-sleep/
patient-centered,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/why-chiropractic-care-is-effective-for-back-pain/
Liene,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/book/
Dewick,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/book/
Shantel,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/book/
finetuning,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/chiropratic-care-adjustments/
wifi,Spelling,1,1,0,Possible spelling mistake found.,en-GB,https://sydneychiropractorcbd.com.au/5-tips-to-get-better-sleep/
